base_col,margin,cap_slack,sample_count,coverage,mean_gap,median_gap,gap_p05,gap_p95,gap_p95_p05_range,p95_violation,p99_violation,max_violation
pred_q70,0.01,0.08,5184.0,0.6126543209876543,0.0868383357748763,0.05438696513604546,-0.13376542946601497,0.38603770310258256,0.5198031325685976,0.1437654294660148,0.21811117612735711,0.3688048291811446
pred_q80,-0.02,0.08,5184.0,0.6114969135802469,0.08690697190279954,0.055413503111296114,-0.132371062774392,0.3887424173535734,0.5211134801279654,0.14237106277439185,0.21699443176492986,0.37402914121050396
pred_q70,0.03,0.03,5184.0,0.6340663580246914,0.08850646781039959,0.06117947984892977,-0.15589925494841028,0.38888036334295023,0.5447796182913605,0.1658992549484103,0.24353908443935396,0.4188048291811446
pred_q80,0.0,0.03,5184.0,0.6317515432098766,0.0885355919340471,0.06127013615923113,-0.15565235849558834,0.39078422822177267,0.5464365867173611,0.16565235849558801,0.24353908443935396,0.4188048291811446
pred_q90,-0.04,0.02,5184.0,0.6271219135802469,0.08890063806593627,0.06407889927534438,-0.16017143210750287,0.39797721153052,0.5581486436380229,0.17017143210750285,0.24972360053463538,0.4288048291811446
pred_q80,0.01,0.01,5184.0,0.6398533950617284,0.08904564924536452,0.06478579057507723,-0.16994851352286605,0.3999139876393125,0.5698625011621785,0.1799485135228659,0.26244377632439886,0.4388048291811446
pred_q70,0.04,0.01,5184.0,0.6421682098765432,0.08908299249255988,0.06619709548087088,-0.16994123380019774,0.3959830763656614,0.5659243101658591,0.17994123380019755,0.25884625047239934,0.4388048291811446
pred_q90,-0.06,0.08,5184.0,0.6188271604938271,0.09119673696056445,0.06488572587695376,-0.1312772115094902,0.3927420164391539,0.5240192279486441,0.14127721150949019,0.20831104202820977,0.3688048291811446
pred_q70,0.01,0.1,5184.0,0.625,0.09151044943971896,0.05917334712269079,-0.12453983837288167,0.3918556727912425,0.5163955111641242,0.13453983837288166,0.20834627374565773,0.3559929247049223
pred_q80,-0.02,0.1,5184.0,0.6242283950617284,0.09156676544728937,0.059451036055247986,-0.1241012490424496,0.39378845424180176,0.5178897032842513,0.1341012490424495,0.20974762128893168,0.37402914121050396
pred_q80,0.02,0.0,5184.0,0.6533564814814815,0.09169659387193273,0.06841657626651795,-0.17684847376294552,0.40681907098136205,0.5836675447443076,0.1868484737629454,0.2687198385453046,0.4488048291811446
pred_q70,0.05,0.0,5184.0,0.6572145061728395,0.09185268299462779,0.06992635729247365,-0.17638659504286652,0.4047151333668259,0.5811017284096924,0.18638659504286645,0.2682941706211375,0.4488048291811446
pred_q90,-0.04,0.03,5184.0,0.6331018518518519,0.09202229329921566,0.06552169998983437,-0.15216910277715928,0.3989618892414772,0.5511309920186365,0.16216910277715912,0.24205504124465654,0.4188048291811446
pred_q70,0.04,0.02,5184.0,0.6487268518518519,0.0923707523476301,0.06858570572788789,-0.16128349417171617,0.39747983780423535,0.5587633319759515,0.17128349417171612,0.24972360053463538,0.4288048291811446
pred_q80,0.01,0.02,5184.0,0.6462191358024691,0.09239296769982495,0.06671124900283437,-0.16128349417171617,0.4000622685997969,0.561345762771513,0.17128349417171612,0.2531021558432567,0.4288048291811446
pred_q70,0.03,0.05,5184.0,0.6454475308641975,0.09408200837661031,0.06614256898405976,-0.13992614441324397,0.39225751259920305,0.532183657012447,0.14992614441324398,0.22896168017057206,0.3988048291811446
pred_q80,0.0,0.05,5184.0,0.6431327160493827,0.0941062989043484,0.06493126003180641,-0.13922872978718914,0.39428757702321304,0.5335163068104022,0.14922872978718896,0.22896168017057206,0.3988048291811446
pred_q70,0.02,0.08,5184.0,0.6385030864197531,0.0943760578886621,0.06304682904525738,-0.12839699057211715,0.39312830054107806,0.5215252911131952,0.13839699057211713,0.20997855029478238,0.3688048291811446
pred_q90,-0.02,0.0,5184.0,0.6437114197530864,0.09450930091526338,0.07162556287628713,-0.17566174677312688,0.41501481841125737,0.5906765651843843,0.18566174677312686,0.2672873894652306,0.4488048291811446
pred_q80,0.02,0.01,5184.0,0.6620370370370371,0.09547418712833734,0.0716991949446868,-0.16835102833451732,0.40859592044254456,0.5769469487770619,0.17835102833451713,0.2587198385453046,0.4388048291811446
