t_up,t_down,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss
0.565,0.41,8220.0,0.03613138686131387,0.5367647058823529,0.44,0.4883823529411765,0.5232360097323601,0.5286195286195287,0.9158249158249159,0.08417508417508418,0.565,0.41,297.0,272.0,25.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.565,0.415,8220.0,0.03905109489051095,0.5367647058823529,0.5918367346938775,0.5643007202881152,0.5232360097323601,0.5451713395638629,0.8473520249221184,0.1526479750778816,0.565,0.415,321.0,272.0,49.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.565,0.42,8220.0,0.043552311435523114,0.5367647058823529,0.627906976744186,0.5823358413132695,0.5232360097323601,0.5586592178770949,0.7597765363128491,0.24022346368715083,0.565,0.42,358.0,272.0,86.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.565,0.425,8220.0,0.04793187347931874,0.5367647058823529,0.639344262295082,0.5880544840887174,0.5232360097323601,0.5685279187817259,0.6903553299492385,0.3096446700507614,0.565,0.425,394.0,272.0,122.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.565,0.43,8220.0,0.05620437956204379,0.5367647058823529,0.6,0.5683823529411764,0.5232360097323601,0.5627705627705628,0.5887445887445888,0.41125541125541126,0.565,0.43,462.0,272.0,190.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.565,0.435,8220.0,0.06776155717761558,0.5367647058823529,0.6385964912280702,0.5876805985552116,0.5232360097323601,0.5888689407540395,0.4883303411131059,0.5116696588868941,0.565,0.435,557.0,272.0,285.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.565,0.44,8220.0,0.0840632603406326,0.5367647058823529,0.60381861575179,0.5702916608170714,0.5232360097323601,0.5774240231548481,0.39363241678726485,0.6063675832127352,0.565,0.44,691.0,272.0,419.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.565,0.445,8220.0,0.10316301703163017,0.5367647058823529,0.5920138888888888,0.5643892973856208,0.5232360097323601,0.5742924528301887,0.32075471698113206,0.6792452830188679,0.565,0.445,848.0,272.0,576.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.565,0.45,8220.0,0.12384428223844282,0.5367647058823529,0.5817694369973191,0.559267071439836,0.5232360097323601,0.5697445972495089,0.26719056974459726,0.7328094302554028,0.565,0.45,1018.0,272.0,746.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.565,0.455,8220.0,0.1502433090024331,0.5367647058823529,0.5856697819314641,0.5612172439069085,0.5232360097323601,0.5748987854251012,0.2202429149797571,0.7797570850202429,0.565,0.455,1235.0,272.0,963.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.565,0.46,8220.0,0.17883211678832117,0.5367647058823529,0.5701168614357263,0.5534407836590396,0.5232360097323601,0.5639455782312925,0.18503401360544217,0.8149659863945579,0.565,0.46,1470.0,272.0,1198.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.565,0.465,8220.0,0.2110705596107056,0.5367647058823529,0.5645933014354066,0.5506790036588798,0.5232360097323601,0.5602305475504322,0.15677233429394813,0.8432276657060519,0.565,0.465,1735.0,272.0,1463.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.565,0.47,8220.0,0.25012165450121654,0.5367647058823529,0.5538116591928252,0.545288182537589,0.5232360097323601,0.5515564202334631,0.13229571984435798,0.867704280155642,0.565,0.47,2056.0,272.0,1784.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.565,0.475,8220.0,0.29148418491484185,0.5367647058823529,0.544256120527307,0.54051041320483,0.5232360097323601,0.5434056761268782,0.11352253756260434,0.8864774624373957,0.565,0.475,2396.0,272.0,2124.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.565,0.48,8220.0,0.33941605839416056,0.5367647058823529,0.5405083399523432,0.538636522917348,0.5232360097323601,0.5401433691756272,0.0974910394265233,0.9025089605734767,0.565,0.48,2790.0,272.0,2518.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.565,0.485,8220.0,0.39330900243309,0.5367647058823529,0.5325903411009794,0.5346775234916661,0.5232360097323601,0.5329415403649861,0.08413238478193628,0.9158676152180637,0.565,0.485,3233.0,272.0,2961.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.565,0.49,8220.0,0.44635036496350367,0.5367647058823529,0.5257580217839269,0.5312613638331399,0.5232360097323601,0.526573998364677,0.07413464159171436,0.9258653584082857,0.565,0.49,3669.0,272.0,3397.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.565,0.495,8220.0,0.4996350364963504,0.5367647058823529,0.5241199478487614,0.5304423268655571,0.5232360097323601,0.5249573898222547,0.06622839055271487,0.9337716094472851,0.565,0.495,4107.0,272.0,3835.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
